Attack,Attack_Cost,Attack_Perm,AttackSpeed,AttackSpeed_Cost,AttackSpeed_Perm,CriticalChance,CriticalChance_Cost,CriticalChance_Perm,CriticalDamage,CriticalDamage_Cost,CriticalDamage_Perm,AttackRange,AttackRange_Cost,AttackRange_Perm,Health,Health_Cost,Health_Perm,Regeneration,Regeneration_Cost,Regeneration_Perm,Defense,Defense_Cost,Defense_Perm,Reflection,Reflection_Cost,Reflection_Perm,LifeSteal,LifeSteal_Cost,LifeSteal_Perm,GoldMultiplier,GoldMultiplier_Cost,GoldMultiplier_Perm,GoldPerWave,GoldPerWave_Cost,GoldPerWave_Perm,CoinMultiplier,CoinMultiplier_Cost,CoinMultiplier_Perm,CoinPerWave,CoinPerWave_Cost,CoinPerWave_Perm,,,
872817,46428640,2750692816,,,,,,,,,,,,,843940228,46428640,2750692816,182517,46428640,2750692816,46588209,125872874,2750692836,,,,,,,,,,,,,,,,,,,,,
873336,46468953,2753146700,,,,,,,,,,,,,844696390,46468953,2753146700,182626,46468953,2753146700,46629957,125984729,2753146720,,,,,,,,,,,,,,,,,,,,,
873855,46509289,2755602042,,,,,,,,,,,,,845453002,46509289,2755602042,182735,46509289,2755602042,46671730,126096651,2755602062,,,,,,,,,,,,,,,,,,,,,
874374,46549649,2758058844,,,,,,,,,,,,,846210067,46549649,2758058844,182845,46549649,2758058844,46713528,126208639,2758058864,,,,,,,,,,,,,,,,,,,,,
874893,46590031,2760517106,,,,,,,,,,,,,846967583,46590031,2760517106,182954,46590031,2760517106,46755351,126320694,2760517126,,,,,,,,,,,,,,,,,,,,,
875413,46630437,2762976827,,,,,,,,,,,,,847725552,46630437,2762976827,183063,46630437,2762976827,46797199,126432814,2762976847,,,,,,,,,,,,,,,,,,,,,
875932,46670867,2765438010,,,,,,,,,,,,,848483972,46670867,2765438010,183172,46670867,2765438010,46839072,126545002,2765438030,,,,,,,,,,,,,,,,,,,,,
876452,46711319,2767900654,,,,,,,,,,,,,849242845,46711319,2767900654,183282,46711319,2767900654,46880969,126657255,2767900674,,,,,,,,,,,,,,,,,,,,,
876972,46751795,2770364759,,,,,,,,,,,,,850002170,46751795,2770364759,183391,46751795,2770364759,46922892,126769575,2770364779,,,,,,,,,,,,,,,,,,,,,
877492,46792295,2772830326,,,,,,,,,,,,,850761947,46792295,2772830326,183500,46792295,2772830326,46964840,126881961,2772830346,,,,,,,,,,,,,,,,,,,,,
878012,46832818,2775297356,,,,,,,,,,,,,851522177,46832818,2775297356,183610,46832818,2775297356,47006813,126994413,2775297376,,,,,,,,,,,,,,,,,,,,,
878533,46873364,2777765848,,,,,,,,,,,,,852282860,46873364,2777765848,183719,46873364,2777765848,47048811,127106932,2777765868,,,,,,,,,,,,,,,,,,,,,
879053,46913933,2780235804,,,,,,,,,,,,,853043996,46913933,2780235804,183829,46913933,2780235804,47090833,127219518,2780235824,,,,,,,,,,,,,,,,,,,,,
879574,46954526,2782707223,,,,,,,,,,,,,853805585,46954526,2782707223,183938,46954526,2782707223,47132881,127332170,2782707243,,,,,,,,,,,,,,,,,,,,,
880095,46995142,2785180107,,,,,,,,,,,,,854567627,46995142,2785180107,184048,46995142,2785180107,47174954,127444888,2785180127,,,,,,,,,,,,,,,,,,,,,
880616,47035782,2787654455,,,,,,,,,,,,,855330122,47035782,2787654455,184157,47035782,2787654455,47217052,127557673,2787654475,,,,,,,,,,,,,,,,,,,,,
881137,47076445,2790130268,,,,,,,,,,,,,856093070,47076445,2790130268,184267,47076445,2790130268,47259175,127670524,2790130288,,,,,,,,,,,,,,,,,,,,,
881658,47117132,2792607547,,,,,,,,,,,,,856856473,47117132,2792607547,184377,47117132,2792607547,47301323,127783442,2792607567,,,,,,,,,,,,,,,,,,,,,
882179,47157841,2795086291,,,,,,,,,,,,,857620328,47157841,2795086291,184486,47157841,2795086291,47343496,127896426,2795086311,,,,,,,,,,,,,,,,,,,,,
882701,47198575,2797566502,,,,,,,,,,,,,858384638,47198575,2797566502,184596,47198575,2797566502,47385694,128009477,2797566522,,,,,,,,,,,,,,,,,,,,,
883223,47239331,2800048179,,,,,,,,,,,,,859149402,47239331,2800048179,184706,47239331,2800048179,47427917,128122595,2800048199,,,,,,,,,,,,,,,,,,,,,
883745,47280112,2802531324,,,,,,,,,,,,,859914620,47280112,2802531324,184816,47280112,2802531324,47470165,128235779,2802531344,,,,,,,,,,,,,,,,,,,,,
884267,47320915,2805015936,,,,,,,,,,,,,860680292,47320915,2805015936,184925,47320915,2805015936,47512438,128349030,2805015956,,,,,,,,,,,,,,,,,,,,,
884789,47361742,2807502017,,,,,,,,,,,,,861446418,47361742,2807502017,185035,47361742,2807502017,47554737,128462348,2807502037,,,,,,,,,,,,,,,,,,,,,
885311,47402593,2809989566,,,,,,,,,,,,,862212999,47402593,2809989566,185145,47402593,2809989566,47597060,128575732,2809989586,,,,,,,,,,,,,,,,,,,,,
885834,47443467,2812478583,,,,,,,,,,,,,862980035,47443467,2812478583,185255,47443467,2812478583,47639409,128689183,2812478603,,,,,,,,,,,,,,,,,,,,,
886357,47484364,2814969071,,,,,,,,,,,,,863747525,47484364,2814969071,185365,47484364,2814969071,47681782,128802700,2814969091,,,,,,,,,,,,,,,,,,,,,
886879,47525285,2817461027,,,,,,,,,,,,,864515470,47525285,2817461027,185475,47525285,2817461027,47724181,128916285,2817461047,,,,,,,,,,,,,,,,,,,,,
887402,47566229,2819954455,,,,,,,,,,,,,865283871,47566229,2819954455,185585,47566229,2819954455,47766605,129029936,2819954475,,,,,,,,,,,,,,,,,,,,,
887926,47607197,2822449352,,,,,,,,,,,,,866052726,47607197,2822449352,185695,47607197,2822449352,47809054,129143653,2822449372,,,,,,,,,,,,,,,,,,,,,
888449,47648188,2824945721,,,,,,,,,,,,,866822037,47648188,2824945721,185805,47648188,2824945721,47851528,129257438,2824945741,,,,,,,,,,,,,,,,,,,,,
888972,47689203,2827443562,,,,,,,,,,,,,867591803,47689203,2827443562,185915,47689203,2827443562,47894028,129371290,2827443582,,,,,,,,,,,,,,,,,,,,,
889496,47730242,2829942874,,,,,,,,,,,,,868362025,47730242,2829942874,186025,47730242,2829942874,47936552,129485208,2829942894,,,,,,,,,,,,,,,,,,,,,
890020,47771303,2832443659,,,,,,,,,,,,,869132703,47771303,2832443659,186135,47771303,2832443659,47979102,129599193,2832443679,,,,,,,,,,,,,,,,,,,,,
890544,47812389,2834945916,,,,,,,,,,,,,869903836,47812389,2834945916,186246,47812389,2834945916,48021677,129713245,2834945936,,,,,,,,,,,,,,,,,,,,,
891068,47853498,2837449647,,,,,,,,,,,,,870675425,47853498,2837449647,186356,47853498,2837449647,48064277,129827364,2837449667,,,,,,,,,,,,,,,,,,,,,
891592,47894630,2839954851,,,,,,,,,,,,,871447471,47894630,2839954851,186466,47894630,2839954851,48106902,129941550,2839954871,,,,,,,,,,,,,,,,,,,,,
892116,47935786,2842461530,,,,,,,,,,,,,872219973,47935786,2842461530,186576,47935786,2842461530,48149552,130055802,2842461550,,,,,,,,,,,,,,,,,,,,,
892641,47976965,2844969683,,,,,,,,,,,,,872992931,47976965,2844969683,186687,47976965,2844969683,48192228,130170122,2844969703,,,,,,,,,,,,,,,,,,,,,
893166,48018169,2847479311,,,,,,,,,,,,,873766346,48018169,2847479311,186797,48018169,2847479311,48234929,130284509,2847479331,,,,,,,,,,,,,,,,,,,,,
893690,48059395,2849990415,,,,,,,,,,,,,874540217,48059395,2849990415,186907,48059395,2849990415,48277655,130398962,2849990435,,,,,,,,,,,,,,,,,,,,,
894215,48100645,2852502994,,,,,,,,,,,,,875314545,48100645,2852502994,187018,48100645,2852502994,48320406,130513483,2852503014,,,,,,,,,,,,,,,,,,,,,
894741,48141919,2855017050,,,,,,,,,,,,,876089330,48141919,2855017050,187128,48141919,2855017050,48363183,130628071,2855017070,,,,,,,,,,,,,,,,,,,,,
895266,48183216,2857532582,,,,,,,,,,,,,876864572,48183216,2857532582,187239,48183216,2857532582,48405984,130742725,2857532602,,,,,,,,,,,,,,,,,,,,,
895791,48224537,2860049591,,,,,,,,,,,,,877640272,48224537,2860049591,187349,48224537,2860049591,48448811,130857447,2860049611,,,,,,,,,,,,,,,,,,,,,
896317,48265882,2862568079,,,,,,,,,,,,,878416428,48265882,2862568079,187460,48265882,2862568079,48491663,130972236,2862568099,,,,,,,,,,,,,,,,,,,,,
896843,48307250,2865088044,,,,,,,,,,,,,879193043,48307250,2865088044,187570,48307250,2865088044,48534541,131087092,2865088064,,,,,,,,,,,,,,,,,,,,,
897369,48348642,2867609487,,,,,,,,,,,,,879970114,48348642,2867609487,187681,48348642,2867609487,48577444,131202015,2867609507,,,,,,,,,,,,,,,,,,,,,
897895,48390057,2870132410,,,,,,,,,,,,,880747644,48390057,2870132410,187792,48390057,2870132410,48620372,131317005,2870132430,,,,,,,,,,,,,,,,,,,,,
898421,48431496,2872656812,,,,,,,,,,,,,881525631,48431496,2872656812,187902,48431496,2872656812,48663325,131432063,2872656832,,,,,,,,,,,,,,,,,,,,,
898947,48472959,2875182693,,,,,,,,,,,,,882304077,48472959,2875182693,188013,48472959,2875182693,48706304,131547187,2875182713,,,,,,,,,,,,,,,,,,,,,
899474,48514445,2877710055,,,,,,,,,,,,,883082980,48514445,2877710055,188124,48514445,2877710055,48749308,131662379,2877710075,,,,,,,,,,,,,,,,,,,,,
900000,48555955,2880238897,,,,,,,,,,,,,883862342,48555955,2880238897,188235,48555955,2880238897,48792337,131777638,2880238917,,,,,,,,,,,,,,,,,,,,,
900527,48597488,2882769220,,,,,,,,,,,,,884642163,48597488,2882769220,188345,48597488,2882769220,48835391,131892964,2882769240,,,,,,,,,,,,,,,,,,,,,
901054,48639045,2885301025,,,,,,,,,,,,,885422441,48639045,2885301025,188456,48639045,2885301025,48878471,132008358,2885301045,,,,,,,,,,,,,,,,,,,,,
901581,48680626,2887834312,,,,,,,,,,,,,886203179,48680626,2887834312,188567,48680626,2887834312,48921576,132123819,2887834332,,,,,,,,,,,,,,,,,,,,,
902109,48722231,2890369081,,,,,,,,,,,,,886984375,48722231,2890369081,188678,48722231,2890369081,48964707,132239347,2890369101,,,,,,,,,,,,,,,,,,,,,
902636,48763859,2892905333,,,,,,,,,,,,,887766031,48763859,2892905333,188789,48763859,2892905333,49007863,132354942,2892905353,,,,,,,,,,,,,,,,,,,,,
903164,48805511,2895443068,,,,,,,,,,,,,888548145,48805511,2895443068,188900,48805511,2895443068,49051044,132470605,2895443088,,,,,,,,,,,,,,,,,,,,,
903692,48847186,2897982287,,,,,,,,,,,,,889330718,48847186,2897982287,189011,48847186,2897982287,49094250,132586335,2897982307,,,,,,,,,,,,,,,,,,,,,
904220,48888885,2900522990,,,,,,,,,,,,,890113751,48888885,2900522990,189122,48888885,2900522990,49137482,132702133,2900523010,,,,,,,,,,,,,,,,,,,,,
904748,48930608,2903065178,,,,,,,,,,,,,890897244,48930608,2903065178,189233,48930608,2903065178,49180740,132817997,2903065198,,,,,,,,,,,,,,,,,,,,,
905276,48972355,2905608850,,,,,,,,,,,,,891681196,48972355,2905608850,189344,48972355,2905608850,49224022,132933930,2905608870,,,,,,,,,,,,,,,,,,,,,
905804,49014125,2908154008,,,,,,,,,,,,,892465608,49014125,2908154008,189455,49014125,2908154008,49267330,133049930,2908154028,,,,,,,,,,,,,,,,,,,,,
906333,49055919,2910700651,,,,,,,,,,,,,893250480,49055919,2910700651,189567,49055919,2910700651,49310664,133165997,2910700671,,,,,,,,,,,,,,,,,,,,,
906861,49097737,2913248781,,,,,,,,,,,,,894035811,49097737,2913248781,189678,49097737,2913248781,49354023,133282131,2913248801,,,,,,,,,,,,,,,,,,,,,
907390,49139579,2915798398,,,,,,,,,,,,,894821603,49139579,2915798398,189789,49139579,2915798398,49397407,133398334,2915798418,,,,,,,,,,,,,,,,,,,,,
907919,49181444,2918349501,,,,,,,,,,,,,895607856,49181444,2918349501,189900,49181444,2918349501,49440817,133514603,2918349521,,,,,,,,,,,,,,,,,,,,,
908449,49223333,2920902093,,,,,,,,,,,,,896394568,49223333,2920902093,190012,49223333,2920902093,49484252,133630941,2920902113,,,,,,,,,,,,,,,,,,,,,
908978,49265246,2923456172,,,,,,,,,,,,,897181741,49265246,2923456172,190123,49265246,2923456172,49527712,133747345,2923456192,,,,,,,,,,,,,,,,,,,,,
909507,49307182,2926011740,,,,,,,,,,,,,897969375,49307182,2926011740,190234,49307182,2926011740,49571198,133863818,2926011760,,,,,,,,,,,,,,,,,,,,,
910037,49349142,2928568796,,,,,,,,,,,,,898757470,49349142,2928568796,190346,49349142,2928568796,49614710,133980358,2928568816,,,,,,,,,,,,,,,,,,,,,
910567,49391127,2931127342,,,,,,,,,,,,,899546026,49391127,2931127342,190457,49391127,2931127342,49658247,134096965,2931127362,,,,,,,,,,,,,,,,,,,,,
911097,49433134,2933687377,,,,,,,,,,,,,900335043,49433134,2933687377,190569,49433134,2933687377,49701809,134213641,2933687397,,,,,,,,,,,,,,,,,,,,,
911627,49475166,2936248903,,,,,,,,,,,,,901124521,49475166,2936248903,190680,49475166,2936248903,49745397,134330383,2936248923,,,,,,,,,,,,,,,,,,,,,
912157,49517221,2938811919,,,,,,,,,,,,,901914461,49517221,2938811919,190792,49517221,2938811919,49789010,134447194,2938811939,,,,,,,,,,,,,,,,,,,,,
912687,49559301,2941376427,,,,,,,,,,,,,902704862,49559301,2941376427,190903,49559301,2941376427,49832649,134564072,2941376447,,,,,,,,,,,,,,,,,,,,,
913218,49601404,2943942425,,,,,,,,,,,,,903495724,49601404,2943942425,191015,49601404,2943942425,49876313,134681018,2943942445,,,,,,,,,,,,,,,,,,,,,
913749,49643531,2946509916,,,,,,,,,,,,,904287049,49643531,2946509916,191126,49643531,2946509916,49920003,134798032,2946509936,,,,,,,,,,,,,,,,,,,,,
914279,49685681,2949078899,,,,,,,,,,,,,905078835,49685681,2949078899,191238,49685681,2949078899,49963718,134915113,2949078919,,,,,,,,,,,,,,,,,,,,,
914810,49727856,2951649375,,,,,,,,,,,,,905871084,49727856,2951649375,191350,49727856,2951649375,50007459,135032263,2951649395,,,,,,,,,,,,,,,,,,,,,
915342,49770054,2954221344,,,,,,,,,,,,,906663794,49770054,2954221344,191462,49770054,2954221344,50051225,135149480,2954221364,,,,,,,,,,,,,,,,,,,,,
915873,49812276,2956794806,,,,,,,,,,,,,907456967,49812276,2956794806,191573,49812276,2956794806,50095017,135266764,2956794826,,,,,,,,,,,,,,,,,,,,,
916404,49854522,2959369763,,,,,,,,,,,,,908250603,49854522,2959369763,191685,49854522,2959369763,50138835,135384117,2959369783,,,,,,,,,,,,,,,,,,,,,
916936,49896792,2961946214,,,,,,,,,,,,,909044701,49896792,2961946214,191797,49896792,2961946214,50182678,135501538,2961946234,,,,,,,,,,,,,,,,,,,,,
917468,49939086,2964524160,,,,,,,,,,,,,909839262,49939086,2964524160,191909,49939086,2964524160,50226546,135619026,2964524180,,,,,,,,,,,,,,,,,,,,,
918000,49981404,2967103602,,,,,,,,,,,,,910634285,49981404,2967103602,192021,49981404,2967103602,50270440,135736582,2967103622,,,,,,,,,,,,,,,,,,,,,
918532,50023745,2969684539,,,,,,,,,,,,,911429772,50023745,2969684539,192133,50023745,2969684539,50314360,135854206,2969684559,,,,,,,,,,,,,,,,,,,,,
919064,50066111,2972266972,,,,,,,,,,,,,912225722,50066111,2972266972,192245,50066111,2972266972,50358305,135971898,2972266992,,,,,,,,,,,,,,,,,,,,,
919596,50108500,2974850902,,,,,,,,,,,,,913022135,50108500,2974850902,192357,50108500,2974850902,50402276,136089658,2974850922,,,,,,,,,,,,,,,,,,,,,
920129,50150913,2977436329,,,,,,,,,,,,,913819011,50150913,2977436329,192469,50150913,2977436329,50446272,136207486,2977436349,,,,,,,,,,,,,,,,,,,,,
920662,50193350,2980023254,,,,,,,,,,,,,914616351,50193350,2980023254,192581,50193350,2980023254,50490294,136325382,2980023274,,,,,,,,,,,,,,,,,,,,,
921195,50235811,2982611677,,,,,,,,,,,,,915414155,50235811,2982611677,192693,50235811,2982611677,50534342,136443346,2982611697,,,,,,,,,,,,,,,,,,,,,
921728,50278296,2985201598,,,,,,,,,,,,,916212422,50278296,2985201598,192805,50278296,2985201598,50578415,136561379,2985201618,,,,,,,,,,,,,,,,,,,,,
922261,50320805,2987793018,,,,,,,,,,,,,917011153,50320805,2987793018,192917,50320805,2987793018,50622513,136679479,2987793038,,,,,,,,,,,,,,,,,,,,,
922794,50363337,2990385937,,,,,,,,,,,,,917810349,50363337,2990385937,193029,50363337,2990385937,50666638,136797647,2990385957,,,,,,,,,,,,,,,,,,,,,
923327,50405894,2992980356,,,,,,,,,,,,,918610008,50405894,2992980356,193141,50405894,2992980356,50710788,136915883,2992980376,,,,,,,,,,,,,,,,,,,,,
923861,50448475,2995576275,,,,,,,,,,,,,919410132,50448475,2995576275,193254,50448475,2995576275,50754964,137034187,2995576295,,,,,,,,,,,,,,,,,,,,,
924395,50491079,2998173694,,,,,,,,,,,,,920210721,50491079,2998173694,193366,50491079,2998173694,50799165,137152560,2998173714,,,,,,,,,,,,,,,,,,,,,
924929,50533708,3000772615,,,,,,,,,,,,,921011774,50533708,3000772615,193478,50533708,3000772615,50843392,137271000,3000772635,,,,,,,,,,,,,,,,,,,,,
925463,50576360,3003373037,,,,,,,,,,,,,921813292,50576360,3003373037,193591,50576360,3003373037,50887645,137389509,3003373057,,,,,,,,,,,,,,,,,,,,,
925997,50619037,3005974961,,,,,,,,,,,,,922615275,50619037,3005974961,193703,50619037,3005974961,50931923,137508086,3005974981,,,,,,,,,,,,,,,,,,,,,
926532,50661737,3008578387,,,,,,,,,,,,,923417722,50661737,3008578387,193815,50661737,3008578387,50976227,137626731,3008578407,,,,,,,,,,,,,,,,,,,,,
927066,50704462,3011183316,,,,,,,,,,,,,924220635,50704462,3011183316,193928,50704462,3011183316,51020557,137745445,3011183336,,,,,,,,,,,,,,,,,,,,,
927601,50747210,3013789748,,,,,,,,,,,,,925024014,50747210,3013789748,194040,50747210,3013789748,51064912,137864226,3013789768,,,,,,,,,,,,,,,,,,,,,
928136,50789982,3016397684,,,,,,,,,,,,,925827857,50789982,3016397684,194153,50789982,3016397684,51109293,137983076,3016397704,,,,,,,,,,,,,,,,,,,,,
928671,50832779,3019007123,,,,,,,,,,,,,926632166,50832779,3019007123,194265,50832779,3019007123,51153700,138101994,3019007143,,,,,,,,,,,,,,,,,,,,,
929206,50875599,3021618067,,,,,,,,,,,,,927436941,50875599,3021618067,194378,50875599,3021618067,51198132,138220981,3021618087,,,,,,,,,,,,,,,,,,,,,
929741,50918444,3024230516,,,,,,,,,,,,,928242182,50918444,3024230516,194491,50918444,3024230516,51242591,138340036,3024230536,,,,,,,,,,,,,,,,,,,,,
930277,50961312,3026844471,,,,,,,,,,,,,929047889,50961312,3026844471,194603,50961312,3026844471,51287074,138459159,3026844491,,,,,,,,,,,,,,,,,,,,,
930812,51004205,3029459931,,,,,,,,,,,,,929854062,51004205,3029459931,194716,51004205,3029459931,51331584,138578350,3029459951,,,,,,,,,,,,,,,,,,,,,
931348,51047121,3032076897,,,,,,,,,,,,,930660701,51047121,3032076897,194829,51047121,3032076897,51376120,138697610,3032076917,,,,,,,,,,,,,,,,,,,,,
931884,51090062,3034695370,,,,,,,,,,,,,931467806,51090062,3034695370,194941,51090062,3034695370,51420681,138816938,3034695390,,,,,,,,,,,,,,,,,,,,,
932420,51133026,3037315350,,,,,,,,,,,,,932275378,51133026,3037315350,195054,51133026,3037315350,51465268,138936335,3037315370,,,,,,,,,,,,,,,,,,,,,
932956,51176015,3039936838,,,,,,,,,,,,,933083416,51176015,3039936838,195167,51176015,3039936838,51509880,139055800,3039936858,,,,,,,,,,,,,,,,,,,,,
933493,51219028,3042559833,,,,,,,,,,,,,933891922,51219028,3042559833,195280,51219028,3042559833,51554519,139175334,3042559853,,,,,,,,,,,,,,,,,,,,,
934029,51262065,3045184337,,,,,,,,,,,,,934700894,51262065,3045184337,195393,51262065,3045184337,51599183,139294936,3045184357,,,,,,,,,,,,,,,,,,,,,
934566,51305126,3047810350,,,,,,,,,,,,,935510333,51305126,3047810350,195506,51305126,3047810350,51643873,139414606,3047810370,,,,,,,,,,,,,,,,,,,,,
935103,51348211,3050437872,,,,,,,,,,,,,936320240,51348211,3050437872,195618,51348211,3050437872,51688589,139534345,3050437892,,,,,,,,,,,,,,,,,,,,,
935640,51391320,3053066903,,,,,,,,,,,,,937130613,51391320,3053066903,195731,51391320,3053066903,51733331,139654153,3053066923,,,,,,,,,,,,,,,,,,,,,
936177,51434453,3055697445,,,,,,,,,,,,,937941454,51434453,3055697445,195844,51434453,3055697445,51778098,139774029,3055697465,,,,,,,,,,,,,,,,,,,,,
936714,51477610,3058329497,,,,,,,,,,,,,938752763,51477610,3058329497,195957,51477610,3058329497,51822892,139893974,3058329517,,,,,,,,,,,,,,,,,,,,,
937252,51520791,3060963061,,,,,,,,,,,,,939564540,51520791,3060963061,196071,51520791,3060963061,51867711,140013987,3060963081,,,,,,,,,,,,,,,,,,,,,
937790,51563997,3063598135,,,,,,,,,,,,,940376784,51563997,3063598135,196184,51563997,3063598135,51912556,140134069,3063598155,,,,,,,,,,,,,,,,,,,,,
938327,51607227,3066234722,,,,,,,,,,,,,941189496,51607227,3066234722,196297,51607227,3066234722,51957426,140254220,3066234742,,,,,,,,,,,,,,,,,,,,,
938865,51650480,3068872820,,,,,,,,,,,,,942002677,51650480,3068872820,196410,51650480,3068872820,52002323,140374439,3068872840,,,,,,,,,,,,,,,,,,,,,
939403,51693758,3071512432,,,,,,,,,,,,,942816325,51693758,3071512432,196523,51693758,3071512432,52047246,140494727,3071512452,,,,,,,,,,,,,,,,,,,,,
939942,51737060,3074153556,,,,,,,,,,,,,943630443,51737060,3074153556,196636,51737060,3074153556,52092194,140615084,3074153576,,,,,,,,,,,,,,,,,,,,,
940480,51780386,3076796194,,,,,,,,,,,,,944445028,51780386,3076796194,196750,51780386,3076796194,52137168,140735509,3076796214,,,,,,,,,,,,,,,,,,,,,
941019,51823737,3079440346,,,,,,,,,,,,,945260082,51823737,3079440346,196863,51823737,3079440346,52182168,140856003,3079440366,,,,,,,,,,,,,,,,,,,,,
941557,51867111,3082086013,,,,,,,,,,,,,946075605,51867111,3082086013,196976,51867111,3082086013,52227194,140976566,3082086033,,,,,,,,,,,,,,,,,,,,,
942096,51910510,3084733194,,,,,,,,,,,,,946891597,51910510,3084733194,197090,51910510,3084733194,52272246,141097197,3084733214,,,,,,,,,,,,,,,,,,,,,
942635,51953933,3087381891,,,,,,,,,,,,,947708059,51953933,3087381891,197203,51953933,3087381891,52317324,141217898,3087381911,,,,,,,,,,,,,,,,,,,,,
943174,51997380,3090032104,,,,,,,,,,,,,948524989,51997380,3090032104,197316,51997380,3090032104,52362428,141338667,3090032124,,,,,,,,,,,,,,,,,,,,,
943714,52040851,3092683832,,,,,,,,,,,,,949342388,52040851,3092683832,197430,52040851,3092683832,52407557,141459505,3092683852,,,,,,,,,,,,,,,,,,,,,
944253,52084346,3095337077,,,,,,,,,,,,,950160257,52084346,3095337077,197543,52084346,3095337077,52452713,141580412,3095337097,,,,,,,,,,,,,,,,,,,,,
944793,52127866,3097991840,,,,,,,,,,,,,950978596,52127866,3097991840,197657,52127866,3097991840,52497894,141701388,3097991860,,,,,,,,,,,,,,,,,,,,,
945333,52171410,3100648120,,,,,,,,,,,,,951797404,52171410,3100648120,197770,52171410,3100648120,52543102,141822432,3100648140,,,,,,,,,,,,,,,,,,,,,
945873,52214978,3103305917,,,,,,,,,,,,,952616683,52214978,3103305917,197884,52214978,3103305917,52588335,141943546,3103305937,,,,,,,,,,,,,,,,,,,,,
946413,52258570,3105965233,,,,,,,,,,,,,953436431,52258570,3105965233,197998,52258570,3105965233,52633594,142064728,3105965253,,,,,,,,,,,,,,,,,,,,,
946953,52302187,3108626068,,,,,,,,,,,,,954256649,52302187,3108626068,198111,52302187,3108626068,52678880,142185980,3108626088,,,,,,,,,,,,,,,,,,,,,
947493,52345828,3111288422,,,,,,,,,,,,,955077338,52345828,3111288422,198225,52345828,3111288422,52724191,142307300,3111288442,,,,,,,,,,,,,,,,,,,,,
948034,52389493,3113952296,,,,,,,,,,,,,955898497,52389493,3113952296,198339,52389493,3113952296,52769528,142428689,3113952316,,,,,,,,,,,,,,,,,,,,,
948575,52433182,3116617689,,,,,,,,,,,,,956720127,52433182,3116617689,198452,52433182,3116617689,52814891,142550148,3116617709,,,,,,,,,,,,,,,,,,,,,
949116,52476895,3119284603,,,,,,,,,,,,,957542227,52476895,3119284603,198566,52476895,3119284603,52860281,142671675,3119284623,,,,,,,,,,,,,,,,,,,,,
949657,52520633,3121953039,,,,,,,,,,,,,958364798,52520633,3121953039,198680,52520633,3121953039,52905696,142793272,3121953059,,,,,,,,,,,,,,,,,,,,,
950198,52564395,3124622995,,,,,,,,,,,,,959187840,52564395,3124622995,198794,52564395,3124622995,52951137,142914937,3124623015,,,,,,,,,,,,,,,,,,,,,
950739,52608182,3127294474,,,,,,,,,,,,,960011354,52608182,3127294474,198908,52608182,3127294474,52996604,143036672,3127294494,,,,,,,,,,,,,,,,,,,,,
951281,52651992,3129967474,,,,,,,,,,,,,960835338,52651992,3129967474,199022,52651992,3129967474,53042097,143158476,3129967494,,,,,,,,,,,,,,,,,,,,,
951822,52695827,3132641997,,,,,,,,,,,,,961659794,52695827,3132641997,199136,52695827,3132641997,53087617,143280348,3132642017,,,,,,,,,,,,,,,,,,,,,
952364,52739686,3135318044,,,,,,,,,,,,,962484721,52739686,3135318044,199250,52739686,3135318044,53133162,143402290,3135318064,,,,,,,,,,,,,,,,,,,,,
952906,52783570,3137995614,,,,,,,,,,,,,963310120,52783570,3137995614,199364,52783570,3137995614,53178733,143524301,3137995634,,,,,,,,,,,,,,,,,,,,,
953448,52827478,3140674708,,,,,,,,,,,,,964135990,52827478,3140674708,199478,52827478,3140674708,53224331,143646382,3140674728,,,,,,,,,,,,,,,,,,,,,
953990,52871410,3143355326,,,,,,,,,,,,,964962333,52871410,3143355326,199592,52871410,3143355326,53269954,143768531,3143355346,,,,,,,,,,,,,,,,,,,,,
954533,52915366,3146037469,,,,,,,,,,,,,965789148,52915366,3146037469,199706,52915366,3146037469,53315604,143890750,3146037489,,,,,,,,,,,,,,,,,,,,,
955075,52959347,3148721137,,,,,,,,,,,,,966616434,52959347,3148721137,199820,52959347,3148721137,53361279,144013038,3148721157,,,,,,,,,,,,,,,,,,,,,
955618,53003352,3151406332,,,,,,,,,,,,,967444193,53003352,3151406332,199934,53003352,3151406332,53406981,144135395,3151406352,,,,,,,,,,,,,,,,,,,,,
956161,53047382,3154093052,,,,,,,,,,,,,968272425,53047382,3154093052,200048,53047382,3154093052,53452709,144257822,3154093072,,,,,,,,,,,,,,,,,,,,,
956704,53091436,3156781299,,,,,,,,,,,,,969101129,53091436,3156781299,200163,53091436,3156781299,53498463,144380318,3156781319,,,,,,,,,,,,,,,,,,,,,
957247,53135514,3159471073,,,,,,,,,,,,,969930305,53135514,3159471073,200277,53135514,3159471073,53544243,144502883,3159471093,,,,,,,,,,,,,,,,,,,,,
957790,53179616,3162162374,,,,,,,,,,,,,970759955,53179616,3162162374,200391,53179616,3162162374,53590049,144625517,3162162394,,,,,,,,,,,,,,,,,,,,,
958334,53223743,3164855203,,,,,,,,,,,,,971590078,53223743,3164855203,200506,53223743,3164855203,53635881,144748221,3164855223,,,,,,,,,,,,,,,,,,,,,
958878,53267895,3167549561,,,,,,,,,,,,,972420673,53267895,3167549561,200620,53267895,3167549561,53681739,144870994,3167549581,,,,,,,,,,,,,,,,,,,,,
