HP,Damage
30.72B,2.34M
30.77B,2.35M
30.81B,2.35M
30.89B,2.36M
30.93B,2.36M
30.98B,2.36M
31.02B,2.37M
31.07B,2.37M
32.27B,2.39M
32.31B,2.40M
32.36B,2.40M
32.41B,2.40M
32.45B,2.41M
32.58B,2.42M
32.62B,2.42M
32.67B,2.42M
32.72B,2.43M
32.76B,2.43M
32.88B,2.44M
32.93B,2.44M
32.98B,2.45M
33.02B,2.45M
33.07B,2.45M
33.15B,2.46M
33.20B,2.46M
33.24B,2.47M
33.29B,2.47M
33.34B,2.47M
33.46B,2.49M
33.50B,2.49M
33.55B,2.49M
33.60B,2.50M
34.82B,2.53M
34.90B,2.53M
34.95B,2.54M
35.00B,2.54M
35.83B,2.57M
35.88B,2.57M
39.09B,2.61M
39.15B,2.61M
39.20B,2.61M
39.26B,2.62M
40.69B,2.65M
40.78B,2.66M
40.84B,2.66M
40.90B,2.66M
40.95B,2.67M
41.01B,2.67M
41.15B,2.68M
41.21B,2.69M
42.47B,2.72M
42.53B,2.72M
42.59B,2.72M
42.69B,2.73M
42.75B,2.74M
42.81B,2.74M
42.87B,2.74M
42.93B,2.75M
43.08B,2.76M
43.14B,2.76M
43.20B,2.77M
43.26B,2.77M
43.32B,2.77M
43.48B,2.79M
43.54B,2.79M
43.60B,2.79M
43.66B,2.80M
48.53B,2.80M
50.40B,2.83M
50.47B,2.83M
50.54B,2.83M
50.61B,2.84M
50.68B,2.84M
50.80B,2.85M
50.87B,2.85M
50.94B,2.86M
51.01B,2.86M
51.08B,2.87M
51.25B,2.88M
51.32B,2.88M
51.39B,2.89M
51.46B,2.89M
51.53B,2.89M
51.65B,2.90M
51.72B,2.91M
51.79B,2.91M
51.86B,2.91M
51.93B,2.92M
52.27B,2.94M
52.34B,2.94M
52.42B,2.95M
52.49B,2.95M
52.56B,2.95M
52.68B,2.96M
52.75B,2.97M
52.82B,2.97M
52.89B,2.97M
52.97B,2.98M
56.23B,3.01M
56.30B,3.01M
56.38B,3.01M
56.46B,3.02M
56.53B,3.02M
56.66B,3.03M
56.74B,3.03M
56.82B,3.04M
56.89B,3.04M
56.97B,3.05M
57.16B,3.06M
57.24B,3.06M
57.31B,3.07M
57.39B,3.07M
57.47B,3.08M
57.67B,3.09M
57.75B,3.09M
59.83B,3.13M
59.91B,3.13M
59.99B,3.13M
60.19B,3.15M
60.27B,3.15M
60.35B,3.16M
60.43B,3.16M
62.27B,3.20M
62.40B,3.21M
62.49B,3.21M
62.57B,3.21M
62.65B,3.22M
62.74B,3.22M
65.15B,3.25M
65.24B,3.26M
65.32B,3.26M
65.41B,3.27M
65.50B,3.27M
65.64B,3.28M
65.73B,3.28M
65.82B,3.29M
68.19B,3.32M
68.28B,3.33M
76.96B,3.50M
77.06B,3.50M
77.16B,3.51M
77.27B,3.51M
77.37B,3.52M
79.26B,3.56M
79.36B,3.57M
79.47B,3.57M
79.57B,3.57M
79.68B,3.58M
79.93B,3.60M
80.04B,3.60M
80.14B,3.60M
80.25B,3.61M
80.36B,3.61M
80.53B,3.62M
80.64B,3.63M
80.74B,3.63M
80.85B,3.64M
80.96B,3.64M
85.92B,3.68M
86.03B,3.68M
86.15B,3.69M
86.26B,3.69M
86.37B,3.69M
86.67B,3.71M
86.78B,3.71M
86.89B,3.72M
87.01B,3.72M
87.12B,3.73M
87.40B,3.74M
87.51B,3.75M
87.63B,3.75M
87.74B,3.76M
87.86B,3.76M
88.05B,3.77M
88.16B,3.78M
88.27B,3.78M
98.11B,3.79M
98.24B,3.79M
98.55B,3.81M
98.68B,3.81M
98.81B,3.82M
98.94B,3.82M
99.06B,3.83M
99.27B,3.84M
99.40B,3.84M
99.53B,3.85M
99.66B,3.85M
99.79B,3.86M
103.91B,3.90M
104.05B,3.91M
104.18B,3.91M
104.31B,3.92M
104.45B,3.92M
104.67B,3.93M
107.83B,3.97M
107.96B,3.98M
108.10B,3.98M
108.24B,3.99M
126.90B,4.17M
127.06B,4.17M
127.23B,4.18M
127.39B,4.18M
127.55B,4.19M
127.82B,4.20M
127.98B,4.20M
128.15B,4.21M
142.43B,4.21M
142.61B,4.22M
143.05B,4.24M
143.24B,4.24M
143.42B,4.25M
143.60B,4.25M
143.78B,4.26M
144.26B,4.27M
144.44B,4.28M
144.63B,4.28M
144.81B,4.29M
144.99B,4.29M
153.86B,4.34M
154.06B,4.34M
154.25B,4.35M
154.45B,4.35M
154.64B,4.36M
154.96B,4.37M
155.16B,4.37M
175.55B,4.51M
175.77B,4.51M
175.99B,4.52M
176.54B,4.54M
176.76B,4.55M
183.07B,4.60M
183.30B,4.60M
183.53B,4.61M
183.91B,4.62M
184.14B,4.62M
184.37B,4.63M
184.60B,4.64M
184.84B,4.64M
190.11B,4.68M
190.34B,4.68M
190.58B,4.69M
190.82B,4.69M
191.06B,4.70M
191.45B,4.71M
191.69B,4.72M
191.93B,4.72M
192.17B,4.73M
192.41B,4.73M
199.75B,4.78M
200.00B,4.78M
204.66B,4.84M
204.92B,4.84M
205.17B,4.85M
205.59B,4.86M
205.84B,4.87M
206.10B,4.87M
206.36B,4.88M
206.61B,4.88M
207.24B,4.91M
207.49B,4.91M
207.75B,4.92M
208.01B,4.92M
208.26B,4.93M
208.94B,4.95M
209.20B,4.95M
209.45B,4.96M
215.73B,5.01M
215.99B,5.02M
216.64B,5.04M
216.91B,5.05M
217.18B,5.05M
217.44B,5.06M
217.71B,5.06M
218.15B,5.08M
218.42B,5.08M
218.68B,5.09M
218.95B,5.09M
219.22B,5.10M
232.59B,5.15M
232.87B,5.15M
233.15B,5.16M
241.39B,5.22M
241.69B,5.22M
242.17B,5.24M
242.47B,5.24M
242.76B,5.25M
243.06B,5.25M
243.35B,5.26M
244.75B,5.29M
245.05B,5.30M
245.34B,5.31M
245.64B,5.31M
245.94B,5.32M
246.43B,5.33M
246.73B,5.34M
247.03B,5.34M
247.33B,5.35M
247.63B,5.36M
248.36B,5.38M
248.66B,5.39M
248.96B,5.39M
249.26B,5.40M
249.56B,5.40M
250.06B,5.42M
250.36B,5.42M
250.66B,5.43M
250.96B,5.44M
251.27B,5.44M
260.83B,5.49M
261.14B,5.50M
261.46B,5.50M
261.77B,5.51M
262.08B,5.52M
262.91B,5.54M
263.22B,5.54M
263.54B,5.55M
263.85B,5.55M
264.17B,5.56M
264.95B,5.58M
265.26B,5.59M
265.58B,5.60M
265.90B,5.60M
266.22B,5.61M
266.74B,5.62M
276.19B,5.69M
276.52B,5.69M
276.85B,5.70M
277.18B,5.70M
277.99B,5.73M
278.32B,5.74M
278.65B,5.74M
278.98B,5.75M
279.31B,5.75M
279.86B,5.77M
280.19B,5.78M
280.52B,5.78M
280.85B,5.79M
281.18B,5.79M
376.05B,6.28M
376.49B,6.28M
376.94B,6.29M
377.38B,6.30M
377.83B,6.30M
378.56B,6.32M
379.00B,6.33M
421.19B,6.33M
421.69B,6.34M
422.18B,6.35M
423.39B,6.37M
423.89B,6.38M
424.39B,6.39M
424.89B,6.39M
425.39B,6.40M
426.21B,6.42M
426.70B,6.42M
427.20B,6.43M
427.70B,6.44M
437.59B,6.51M
487.11B,6.54M
487.68B,6.54M
488.25B,6.55M
488.82B,6.56M
489.39B,6.57M
490.88B,6.59M
508.08B,6.66M
508.68B,6.67M
509.27B,6.67M
509.86B,6.68M
529.20B,6.74M
529.82B,6.75M
530.43B,6.76M
531.05B,6.77M
531.67B,6.77M
532.68B,6.79M
533.30B,6.80M
533.91B,6.80M
534.53B,6.81M
535.15B,6.82M
536.66B,6.85M
537.28B,6.85M
537.90B,6.86M
538.53B,6.87M
539.15B,6.88M
540.17B,6.89M
540.79B,6.90M
541.42B,6.91M
542.04B,6.92M
542.66B,6.92M
545.60B,6.96M
546.23B,6.97M
546.85B,6.98M
547.48B,6.99M
548.11B,6.99M
549.14B,7.01M
549.77B,7.02M
550.40B,7.03M
551.04B,7.03M
551.67B,7.04M
585.10B,7.11M
585.77B,7.11M
586.44B,7.12M
587.11B,7.13M
587.78B,7.14M
588.88B,7.15M
589.55B,7.16M
590.23B,7.17M
590.90B,7.18M
591.57B,7.18M
593.22B,7.21M
593.90B,7.22M
611.44B,7.30M
612.14B,7.31M
612.83B,7.32M
614.65B,7.34M
615.35B,7.35M
616.05B,7.36M
616.74B,7.36M
617.44B,7.37M
640.16B,7.47M
640.89B,7.48M
641.61B,7.49M
642.34B,7.50M
643.06B,7.51M
644.26B,7.52M
644.98B,7.53M
645.71B,7.54M
646.44B,7.55M
647.17B,7.56M
671.67B,7.62M
672.42B,7.63M
673.18B,7.64M
673.93B,7.65M
674.69B,7.66M
675.94B,7.67M
676.70B,7.68M
677.46B,7.69M
678.22B,7.70M
678.98B,7.71M
697.71B,7.76M
698.50B,7.77M
699.28B,7.78M
700.06B,7.79M
700.84B,7.79M
702.13B,7.81M
702.91B,7.82M
703.70B,7.83M
704.48B,7.84M
729.03B,7.92M
731.02B,7.96M
731.83B,7.96M
732.65B,7.97M
733.46B,7.98M
734.28B,7.99M
735.62B,8.01M
736.43B,8.02M
737.25B,8.02M
738.07B,8.03M
738.89B,8.04M
783.55B,8.11M
784.42B,8.12M
785.29B,8.13M
786.16B,8.14M
787.03B,8.15M
789.30B,8.17M
807.41B,8.26M
808.30B,8.27M
914.38B,8.53M
915.39B,8.54M
917.86B,8.57M
918.87B,8.58M
919.89B,8.59M
920.90B,8.60M
921.91B,8.61M
923.58B,8.63M
924.60B,8.63M
925.61B,8.64M
926.63B,8.65M
927.64B,8.66M
930.14B,8.70M
931.16B,8.70M
932.18B,8.71M
933.20B,8.72M
960.62B,8.82M
962.35B,8.84M
1.07T,8.85M
1.07T,8.86M
1.07T,8.87M
1.07T,8.88M
1.12T,8.97M
1.12T,8.98M
1.12T,8.99M
1.12T,9.00M
1.12T,9.01M
1.12T,9.03M
1.12T,9.04M
1.13T,9.05M
1.13T,9.06M
1.13T,9.06M
1.13T,9.10M
1.13T,9.11M
1.13T,9.12M
1.13T,9.13M
1.14T,9.14M
1.14T,9.16M
1.14T,9.17M
1.14T,9.18M
1.14T,9.19M
1.14T,9.20M
1.15T,9.23M
1.15T,9.24M
1.15T,9.25M
1.15T,9.26M
1.19T,9.36M
1.19T,9.39M
1.19T,9.40M
1.20T,9.41M
1.20T,9.42M
1.20T,9.43M
1.27T,9.51M
1.27T,9.52M
1.27T,9.53M
1.27T,9.54M
1.28T,9.55M
1.28T,9.57M
1.28T,9.58M
1.28T,9.59M
1.28T,9.60M
1.28T,9.61M
1.29T,9.65M
1.29T,9.66M
1.51T,10.05M
1.51T,10.06M
1.51T,10.07M
1.51T,10.10M
1.51T,10.11M
1.52T,10.12M
1.52T,10.13M
1.52T,10.14M
1.71T,10.64M
1.71T,10.65M
1.90T,10.66M
1.90T,10.67M
1.90T,10.68M
1.91T,10.70M
1.91T,10.71M
1.91T,10.72M
1.91T,10.73M
1.91T,10.74M
1.99T,10.84M
1.99T,10.85M
1.99T,10.86M
1.99T,10.87M
2.00T,10.88M
2.00T,10.91M
2.06T,11.03M
2.06T,11.04M
2.06T,11.05M
2.06T,11.06M
2.07T,11.10M
2.07T,11.11M
2.07T,11.12M
2.08T,11.13M
2.08T,11.14M
2.08T,11.18M
2.09T,11.19M
2.09T,11.20M
2.09T,11.21M
2.09T,11.22M
2.10T,11.26M
2.10T,11.27M
2.10T,11.29M
2.15T,11.41M
2.15T,11.42M
2.16T,11.45M
2.16T,11.46M
2.16T,11.47M
2.16T,11.48M
2.16T,11.49M
2.30T,11.59M
2.30T,11.60M
2.30T,11.61M
2.30T,11.63M
2.30T,11.64M
2.31T,11.66M
2.31T,11.67M
2.31T,11.69M
2.66T,12.28M
2.67T,12.29M
2.68T,12.36M
2.68T,12.37M
2.68T,12.38M
2.69T,12.40M
2.69T,12.41M
2.69T,12.44M
2.70T,12.45M
2.70T,12.46M
2.70T,12.47M
2.71T,12.48M
2.71T,12.53M
2.72T,12.54M
2.72T,12.55M
2.72T,12.57M
2.72T,12.58M
2.73T,12.61M
2.73T,12.62M
2.73T,12.63M
2.83T,12.77M
2.83T,12.78M
2.94T,12.89M
2.94T,12.90M
2.94T,12.92M
2.95T,12.93M
2.95T,12.94M
3.06T,13.11M
3.06T,13.12M
3.06T,13.13M
3.07T,13.15M
3.07T,13.16M
3.08T,13.21M
3.08T,13.22M
3.08T,13.23M
3.09T,13.25M
3.09T,13.26M
3.44T,13.29M
3.44T,13.30M
3.44T,13.31M
3.54T,13.46M
3.55T,13.47M
3.56T,13.52M
3.56T,13.53M
3.56T,13.55M
3.57T,13.56M
3.57T,13.57M
3.58T,13.60M
3.58T,13.61M
3.58T,13.63M
3.59T,13.64M
3.59T,13.65M
3.90T,13.81M
3.90T,13.82M
3.91T,13.84M
3.91T,13.85M
3.91T,13.86M
3.92T,13.89M
3.92T,13.91M
3.93T,13.92M
3.93T,13.93M
3.94T,13.95M
3.95T,14.00M
3.95T,14.01M
3.95T,14.02M
3.96T,14.04M
3.96T,14.05M
3.97T,14.08M
3.97T,14.09M
3.98T,14.11M
3.98T,14.12M
3.98T,14.13M
3.99T,14.18M
4.00T,14.20M
4.00T,14.21M
4.01T,14.22M
4.01T,14.24M
4.02T,14.28M
4.03T,14.29M
4.03T,14.30M
4.03T,14.32M
4.04T,14.33M
4.19T,14.45M
4.19T,14.47M
4.20T,14.48M
4.20T,14.49M
4.21T,14.51M
4.21T,14.54M
4.22T,14.55M
4.22T,14.56M
4.23T,14.58M
4.23T,14.59M
4.33T,14.79M
4.34T,14.80M
4.34T,14.82M
4.34T,14.83M
4.35T,14.85M
4.36T,14.88M
4.36T,14.89M
4.36T,14.90M
4.37T,14.92M
4.37T,14.93M
4.39T,15.01M
4.40T,15.02M
4.40T,15.04M
4.41T,15.05M
4.41T,15.07M
4.42T,15.10M
4.42T,15.11M
4.43T,15.13M
4.58T,15.29M
4.58T,15.31M
4.99T,15.59M
5.00T,15.60M
5.17T,15.78M
5.18T,15.79M
5.18T,15.80M
5.19T,15.84M
5.19T,15.85M
5.20T,15.87M
5.20T,15.88M
5.89T,16.37M
5.90T,16.43M
5.91T,16.44M
5.91T,16.46M
5.92T,16.48M
5.92T,16.49M
5.94T,16.54M
5.94T,16.55M
5.95T,16.57M
5.96T,16.58M
5.96T,16.60M
5.98T,16.65M
5.98T,16.67M
5.99T,16.69M
5.99T,16.70M
6.66T,16.72M
6.67T,16.75M
6.68T,16.77M
6.68T,16.78M
6.69T,16.80M
6.70T,16.81M
6.95T,16.95M
6.95T,16.97M
6.96T,16.99M
6.97T,17.00M
6.97T,17.02M
6.99T,17.05M
6.99T,17.07M
7.00T,17.08M
7.01T,17.10M
7.01T,17.11M
7.43T,17.59M
7.44T,17.60M
7.45T,17.62M
7.45T,17.64M
7.46T,17.65M
7.47T,17.69M
7.48T,17.70M
7.49T,17.72M
7.49T,17.74M
7.50T,17.75M
7.52T,17.81M
7.53T,17.83M
7.53T,17.85M
7.54T,17.86M
7.55T,17.88M
7.56T,17.91M
7.57T,17.93M
7.58T,17.95M
7.58T,17.96M
7.59T,17.98M
8.04T,18.13M
8.05T,18.15M
8.06T,18.16M
8.07T,18.18M
8.96T,18.20M
8.99T,18.25M
8.99T,18.26M
9.00T,18.28M
9.01T,18.29M
9.02T,18.31M
9.04T,18.37M
9.05T,18.39M
9.31T,18.59M
9.32T,18.61M
9.33T,18.62M
9.34T,18.66M
9.35T,18.68M
9.36T,18.69M
9.37T,18.71M
9.38T,18.73M
9.40T,18.79M
9.72T,19.00M
9.73T,19.01M
9.74T,19.03M
9.75T,19.05M
9.76T,19.09M
9.77T,19.10M
9.99T,19.31M
10.00T,19.33M
10.01T,19.35M
10.41T,19.54M
10.42T,19.56M
10.43T,19.57M
10.44T,19.59M
10.45T,19.61M
10.46T,19.65M
10.82T,19.86M
10.83T,19.88M
10.84T,19.90M
10.85T,19.91M
10.88T,19.98M
10.89T,20.00M
10.90T,20.02M
10.91T,20.03M
10.92T,20.05M
10.94T,20.09M
10.95T,20.11M
10.96T,20.13M
10.97T,20.15M
10.98T,20.16M
11.00T,20.23M
11.01T,20.25M
11.02T,20.27M
11.03T,20.28M
11.04T,20.30M
11.07T,20.36M
11.08T,20.37M
11.09T,20.39M
11.10T,20.41M
11.11T,20.43M
11.78T,20.60M
11.79T,20.62M
11.80T,20.63M
11.81T,20.65M
11.82T,20.67M
11.84T,20.71M
11.85T,20.73M
11.86T,20.75M
11.87T,20.77M
11.88T,20.78M
11.91T,20.85M
11.92T,20.87M
11.93T,20.89M
11.94T,20.91M
11.95T,20.93M
11.97T,20.97M
11.98T,20.98M
11.99T,21.00M
12.01T,21.02M
12.02T,21.04M
12.33T,21.16M
12.34T,21.18M
12.36T,21.20M
12.37T,21.22M
12.72T,21.45M
12.74T,21.49M
12.75T,21.51M
12.76T,21.53M
12.78T,21.55M
12.79T,21.57M
13.27T,21.75M
13.28T,21.77M
13.29T,21.78M
13.30T,21.80M
13.31T,21.82M
13.33T,21.86M
13.35T,21.88M
13.36T,21.90M
13.37T,21.92M
13.38T,21.94M
13.41T,22.01M
13.43T,22.03M
13.44T,22.05M
13.45T,22.07M
15.72T,22.98M
15.75T,23.04M
15.77T,23.06M
15.78T,23.08M
15.80T,23.10M
15.81T,23.12M
15.85T,23.19M
15.86T,23.21M
15.88T,23.23M
15.89T,23.25M
15.90T,23.27M
15.93T,23.32M
15.94T,23.34M
15.96T,23.36M
15.97T,23.38M
15.99T,23.40M
16.94T,23.59M
16.95T,23.61M
16.97T,23.63M
16.99T,23.65M
17.00T,23.67M
17.03T,23.72M
17.04T,23.74M
17.06T,23.76M
17.07T,23.78M
17.09T,23.80M
17.73T,24.15M
17.75T,24.17M
17.76T,24.19M
17.78T,24.21M
18.18T,24.47M
18.20T,24.52M
18.22T,24.54M
18.24T,24.56M
18.25T,24.58M
18.27T,24.61M
18.31T,24.68M
18.33T,24.71M
18.34T,24.73M
20.38T,24.75M
20.40T,24.77M
20.43T,24.82M
22.70T,24.84M
22.72T,24.86M
22.74T,24.88M
22.76T,24.90M
23.60T,25.10M
23.63T,25.13M
23.65T,25.15M
23.67T,25.17M
23.69T,25.19M
23.75T,25.25M
24.42T,25.53M
24.45T,25.55M
24.47T,25.57M
24.49T,25.59M
24.54T,25.67M
24.57T,25.69M
24.59T,25.72M
24.61T,25.74M
24.63T,25.76M
24.67T,25.81M
24.69T,25.83M
24.71T,25.85M
24.73T,25.87M
24.76T,25.90M
24.81T,25.98M
24.83T,26.00M
24.85T,26.02M
24.88T,26.04M
24.90T,26.06M
24.93T,26.11M
24.96T,26.14M
24.98T,26.16M
25.00T,26.18M
25.02T,26.20M
29.70T,27.59M
29.73T,27.61M
29.75T,27.63M
29.78T,27.66M
29.80T,27.68M
29.85T,27.73M
29.87T,27.76M
30.89T,28.06M
30.91T,28.08M
30.94T,28.10M
35.04T,29.04M
35.07T,29.06M
35.10T,29.09M
35.13T,29.11M
35.16T,29.13M
35.21T,29.19M
35.24T,29.21M
35.27T,29.24M
35.31T,29.26M
35.34T,29.28M
35.41T,29.38M
35.44T,29.40M
35.48T,29.43M
35.51T,29.45M
35.54T,29.47M
35.62T,29.55M
35.65T,29.57M
35.68T,29.60M
35.71T,29.62M
35.74T,29.64M
37.08T,29.89M
37.11T,29.91M
37.14T,29.94M
37.17T,29.96M
37.20T,29.98M
37.26T,30.04M
37.29T,30.06M
37.32T,30.09M
37.36T,30.11M
37.39T,30.14M
37.47T,30.23M
37.50T,30.26M
37.53T,30.28M
37.57T,30.31M
38.84T,30.64M
38.90T,30.69M
38.93T,30.72M
38.97T,30.74M
40.08T,31.08M
40.11T,31.10M
40.27T,31.24M
40.31T,31.27M
40.34T,31.29M
40.38T,31.32M
40.41T,31.35M
40.47T,31.40M
40.51T,31.43M
40.54T,31.45M
40.58T,31.48M
40.61T,31.51M
43.03T,31.76M
43.99T,32.10M
44.02T,32.13M
44.06T,32.16M
44.10T,32.18M
44.16T,32.24M
44.20T,32.27M
44.24T,32.29M
44.28T,32.32M
44.31T,32.35M
44.41T,32.45M
44.45T,32.47M
44.49T,32.50M
44.52T,32.53M
44.56T,32.55M
44.66T,32.63M
44.70T,32.66M
44.74T,32.68M
44.78T,32.71M
44.82T,32.74M
44.91T,32.84M
44.95T,32.86M
44.99T,32.89M
45.03T,32.92M
45.06T,32.94M
45.13T,33.00M
45.17T,33.03M
45.21T,33.06M
45.24T,33.08M
45.28T,33.11M
48.51T,33.71M
48.55T,33.74M
48.59T,33.76M
48.63T,33.79M
48.67T,33.82M
48.74T,33.88M
48.78T,33.91M
48.83T,33.93M
48.87T,33.96M
48.91T,33.99M
50.17T,34.18M
50.21T,34.20M
55.78T,34.23M
55.83T,34.26M
55.88T,34.29M
55.96T,34.35M
56.00T,34.37M
56.05T,34.40M
56.10T,34.43M
56.15T,34.46M
56.26T,34.56M
56.31T,34.59M
56.36T,34.62M
56.41T,34.64M
56.46T,34.67M
56.53T,34.73M
56.58T,34.76M
56.63T,34.79M
56.68T,34.82M
56.73T,34.84M
61.74T,35.48M
61.80T,35.50M
61.85T,35.53M
61.90T,35.56M
61.95T,35.59M
62.09T,35.67M
62.14T,35.70M
62.19T,35.73M
62.25T,35.76M
62.30T,35.79M
62.43T,35.89M
62.48T,35.92M
62.53T,35.95M
62.59T,35.98M
62.64T,36.01M
62.72T,36.07M
62.78T,36.10M
62.83T,36.13M
64.95T,36.52M
65.01T,36.55M
65.14T,36.66M
65.20T,36.69M
65.25T,36.72M
65.31T,36.75M
65.36T,36.77M
65.45T,36.84M
65.50T,36.87M
65.56T,36.90M
72.83T,36.93M
72.89T,36.96M
75.74T,37.30M
75.80T,37.33M
75.87T,37.36M
75.93T,37.39M
75.99T,37.42M
76.10T,37.49M
76.16T,37.52M
76.23T,37.55M
76.29T,37.58M
76.35T,37.60M
76.51T,37.72M
76.57T,37.75M
76.64T,37.78M
76.70T,37.81M
76.76T,37.83M
76.87T,37.90M
76.93T,37.93M
77.00T,37.96M
78.71T,38.37M
78.77T,38.40M
78.93T,38.51M
79.00T,38.54M
79.06T,38.57M
81.72T,38.99M
81.79T,39.02M
81.96T,39.11M
82.03T,39.14M
82.10T,39.17M
82.17T,39.20M
82.24T,39.23M
87.11T,39.55M
87.18T,39.58M
87.25T,39.61M
87.32T,39.64M
87.40T,39.67M
87.51T,39.74M
87.59T,39.77M
87.66T,39.80M
87.73T,39.83M
87.80T,39.86M
87.98T,39.98M
88.05T,40.01M
90.54T,40.44M
90.62T,40.47M
90.69T,40.50M
90.81T,40.57M
90.89T,40.61M
90.96T,40.64M
91.04T,40.67M
91.11T,40.70M
96.44T,41.78M
96.51T,41.82M
96.59T,41.85M
96.67T,41.88M
96.75T,41.91M
96.88T,41.98M
96.96T,42.02M
97.04T,42.05M
97.12T,42.08M
97.20T,42.11M
100.80T,42.45M
100.88T,42.48M
100.97T,42.51M
101.05T,42.55M
101.13T,42.58M
101.27T,42.65M
101.35T,42.68M
101.43T,42.72M
101.51T,42.75M
101.60T,42.78M
101.80T,42.91M
101.88T,42.94M
101.96T,42.97M
102.05T,43.01M
102.13T,43.04M
102.35T,43.14M
102.43T,43.17M
102.51T,43.20M
102.59T,43.24M
102.68T,43.27M
102.88T,43.39M
102.97T,43.43M
106.43T,43.89M
106.52T,43.93M
106.60T,43.96M
106.75T,44.04M
106.83T,44.07M
106.92T,44.10M
107.00T,44.14M
107.09T,44.17M
113.43T,44.52M
126.01T,44.55M
126.11T,44.59M
126.21T,44.62M
126.31T,44.66M
126.48T,44.73M
126.58T,44.77M
126.68T,44.80M
126.78T,44.83M
126.88T,44.87M
127.37T,45.06M
144.04T,46.44M
144.15T,46.48M
144.27T,46.51M
144.39T,46.55M
144.58T,46.63M
168.84T,48.54M
168.98T,48.58M
169.11T,48.62M
169.25T,48.65M
169.58T,48.79M
169.72T,48.83M
169.85T,48.87M
169.99T,48.90M
174.78T,49.43M
175.01T,49.51M
175.15T,49.55M
175.29T,49.59M
175.43T,49.63M
175.57T,49.66M
182.07T,50.05M
182.22T,50.09M
182.36T,50.13M
182.51T,50.17M
182.65T,50.20M
186.93T,50.82M
187.08T,50.86M
187.23T,50.90M
187.38T,50.94M
187.53T,50.97M
187.90T,51.12M
188.04T,51.16M
188.19T,51.19M
188.34T,51.23M
188.49T,51.27M
188.74T,51.36M
188.89T,51.40M
189.04T,51.43M
189.19T,51.47M
189.34T,51.51M
189.71T,51.66M
189.86T,51.70M
190.01T,51.73M
190.16T,51.77M
190.31T,51.81M
190.55T,51.90M
190.70T,51.94M
190.85T,51.98M
191.01T,52.01M
191.16T,52.05M
239.32T,54.47M
239.51T,54.51M
239.70T,54.55M
239.89T,54.59M
240.08T,54.63M
240.39T,54.72M
240.58T,54.76M
240.77T,54.80M
240.96T,54.84M
241.15T,54.89M
241.61T,55.04M
241.80T,55.08M
241.99T,55.12M
242.18T,55.16M
242.37T,55.20M
242.68T,55.29M
242.87T,55.33M
243.06T,55.38M
243.25T,55.42M
243.44T,55.46M
243.91T,55.61M
244.10T,55.65M
244.29T,55.70M
244.48T,55.74M
244.67T,55.78M
245.17T,55.90M
253.39T,56.50M
253.59T,56.54M
253.79T,56.58M
253.99T,56.63M
292.35T,57.07M
292.58T,57.11M
292.81T,57.15M
293.03T,57.19M
293.26T,57.24M
293.64T,57.33M
301.89T,57.95M
302.13T,57.99M
302.36T,58.03M
312.46T,58.65M
313.05T,58.82M
313.29T,58.86M
313.54T,58.90M
313.78T,58.95M
314.02T,58.99M
314.42T,59.09M
314.67T,59.13M
314.91T,59.17M
315.15T,59.22M
315.40T,59.26M
316.55T,59.50M
316.79T,59.54M
317.04T,59.59M
317.28T,59.63M
317.53T,59.68M
317.93T,59.77M
318.18T,59.82M
318.42T,59.86M
318.67T,59.90M
318.91T,59.95M
337.73T,60.41M
337.99T,60.46M
338.25T,60.50M
338.51T,60.54M
338.77T,60.59M
339.20T,60.69M
339.46T,60.73M
339.72T,60.78M
339.99T,60.82M
340.25T,60.86M
340.89T,61.03M
341.15T,61.08M
341.41T,61.12M
341.67T,61.16M
341.94T,61.21M
342.62T,61.34M
342.88T,61.39M
343.15T,61.43M
343.41T,61.47M
343.67T,61.52M
382.19T,61.69M
382.49T,61.73M
390.92T,62.39M
391.22T,62.44M
391.51T,62.48M
392.01T,62.59M
392.31T,62.63M
392.61T,62.68M
392.91T,62.72M
393.21T,62.77M
407.73T,63.25M
408.04T,63.30M
408.35T,63.34M
408.66T,63.39M
408.97T,63.43M
409.49T,63.54M
409.80T,63.58M
410.11T,63.63M
410.42T,63.67M
410.74T,63.72M
460.57T,66.69M
460.92T,66.74M
461.27T,66.79M
461.62T,66.84M
461.97T,66.88M
462.55T,66.99M
462.90T,67.04M
463.25T,67.09M
476.24T,67.81M
476.60T,67.86M
477.48T,68.04M
477.84T,68.09M
478.21T,68.14M
478.57T,68.19M
478.93T,68.23M
479.52T,68.34M
479.89T,68.39M
480.25T,68.44M
480.61T,68.49M
480.98T,68.54M
525.94T,69.76M
526.34T,69.81M
543.85T,70.56M
544.26T,70.61M
544.67T,70.66M
545.74T,70.81M
546.15T,70.86M
546.56T,70.91M
546.97T,70.96M
547.39T,71.01M
548.39T,71.20M
548.80T,71.25M
549.22T,71.30M
549.63T,71.35M
550.04T,71.40M
550.72T,71.51M
551.13T,71.57M
551.55T,71.62M
551.96T,71.67M
552.38T,71.72M
553.39T,71.91M
553.80T,71.96M
554.22T,72.01M
554.63T,72.06M
555.05T,72.11M
555.73T,72.23M
556.15T,72.28M
556.56T,72.33M
556.98T,72.38M
557.40T,72.43M
578.93T,73.08M
579.36T,73.13M
579.80T,73.18M
580.23T,73.24M
580.66T,73.29M
581.37T,73.40M
581.81T,73.45M
582.24T,73.51M
582.67T,73.56M
583.11T,73.61M
584.17T,73.81M
